start,finish,algorithm,elapsed_time
1529688726.3762755,1529688726.4320247,qs1,0.05574917793273926
1529688724.638421,1529688724.6934056,qs1,0.05498456954956055
1529688739.9574852,1529688740.0358286,qs1,0.07834339141845703
1529688744.6188395,1529688744.6962838,qs1,0.07744431495666504
1529688738.5721233,1529688738.6250188,qs1,0.052895545959472656
1529688745.2828894,1529688745.3421464,qs1,0.05925703048706055
1529688721.1648889,1529688721.2220006,qs1,0.05711174011230469
1529688748.7799764,1529688748.8376188,qs1,0.057642459869384766
1529688751.1420784,1529688751.1970146,qs1,0.05493617057800293
1529688728.7028463,1529688728.7593796,qs1,0.0565333366394043
1529688750.5456,1529688750.6014187,qs1,0.055818796157836914
1529688728.1233137,1529688728.1795297,qs1,0.05621600151062012
1529688729.290668,1529688729.347041,qs1,0.056372880935668945
1529688749.969151,1529688750.0254037,qs1,0.05625271797180176
1529688721.7415488,1529688721.7975197,qs1,0.05597090721130371
1529688749.3742435,1529688749.4287436,qs1,0.05450010299682617
1529688729.8705084,1529688729.928519,qs1,0.05801057815551758
1529688745.89226,1529688745.9485757,qs1,0.05631566047668457
1529688748.197611,1529688748.2527485,qs1,0.05513739585876465
1529688722.3144357,1529688722.3693366,qs1,0.0549008846282959
1529688730.4666345,1529688730.5228517,qs1,0.056217193603515625
1529688747.6108716,1529688747.6678348,qs1,0.056963205337524414
1529688725.7997236,1529688725.857812,qs1,0.05808830261230469
1529688746.4659863,1529688746.5237923,qs1,0.05780601501464844
1529688731.6273603,1529688731.6826208,qs1,0.055260419845581055
1529688747.0432115,1529688747.0971231,qs1,0.053911685943603516
1529688727.5406368,1529688727.596404,qs1,0.05576729774475098
1529688722.8977885,1529688722.953906,qs1,0.05611753463745117
1529688731.0463352,1529688731.1035535,qs1,0.057218313217163086
1529688738.045,1529688738.136642,qs2,0.09164190292358398
1529688745.950155,1529688746.041121,qs2,0.09096598625183105
1529688750.026966,1529688750.1206799,qs2,0.09371376037597656
